Country,Region/State,"Zip/PostAN Code","Weight (and above)","Shipping Price"
SE,*,*,2.3,43.25384615
SE,*,*,2.4,45.03076923
SE,*,*,2.5,46.80769231
SE,*,*,2.6,48.58461538
SE,*,*,2.7,50.36153846
SE,*,*,2.8,52.13846154
SE,*,*,2.9,53.91538462
SE,*,*,3,55.69230769
SE,*,*,3.1,57.46923077
SE,*,*,3.2,59.24615385
SE,*,*,3.3,61.02307692
SE,*,*,3.4,62.8
SE,*,*,3.5,64.57692308
SE,*,*,3.6,66.35384615
SE,*,*,3.7,68.13076923
SE,*,*,3.8,69.90769231
SE,*,*,3.9,71.68461538
SE,*,*,4,73.46153846
CH,*,*,0.1,4.161538462
CH,*,*,0.2,5.938461538
CH,*,*,0.4,9.492307692
CH,*,*,0.5,11.26923077
CH,*,*,0.6,13.04615385
CH,*,*,0.8,16.6
CH,*,*,0.9,18.37692308
CH,*,*,1,20.15384615
CH,*,*,1.1,21.93076923
CH,*,*,1.2,23.70769231
CH,*,*,1.3,25.48461538
CH,*,*,1.4,27.26153846
CH,*,*,1.5,29.03846154
CH,*,*,1.6,30.81538462
CH,*,*,1.7,32.59230769
CH,*,*,1.8,34.36923077
CH,*,*,1.9,36.14615385
CH,*,*,2,37.92307692
CH,*,*,2.1,39.7
CH,*,*,2.2,41.47692308
CH,*,*,2.3,43.25384615
CH,*,*,2.4,45.03076923
CH,*,*,2.5,46.80769231
CH,*,*,2.6,48.58461538
CH,*,*,2.7,50.36153846
CH,*,*,2.8,52.13846154
CH,*,*,2.9,53.91538462
CH,*,*,3,55.69230769
CH,*,*,3.1,57.46923077
CH,*,*,3.2,59.24615385
